Sentence Utterance,Action,Object
iphone ย้ายค่ายจะใช้โปร 799 ได้ไหมค่ะ,enquire,promotion
net ผมเล่นไม่ได้ครับ,enquire,internet
Package ผมสามารถสะสมวันใช้งานได้สูงสุดกี่วันครับ ผมหมายถึงหากเติมเงินเข้าไปเยอๆะ จะมีลิมิตว่าได้ไม่เกินทั้งหมดกี่วัน เช่น เติม 1000 บาท 2ครั้ง จะใดวันใช้งานสะสม 600 วันเลยใช่มั้ยครับ หรือว่ามีลิมิต,enquire,package
sim ของผมมันหักตังมันสมัครอะไรอยู่ครับ,enquire,package
sim ของผมมันหักตังมันสมัครอะไรอยู่ครับ,enquire,package
sim มันล็อคครับ,report,phone_issues
sim มันล็อคครับ,report,phone_issues
sms เข้ามาแล้วหักเงินน่ะค่ะ และเบอร์เราทำเป็นเบอร์รายเดือนได้ไม๊คะ,enquire,service
sms ที่เคยสมัครไว้มันจะหายไปด้วยมั้ย <PHONE_NUMBER_REMOVED> ที่สมัครเอาไว้เป็นหวยอ่ะครับ ที่สมัครไว้เห็นว่าไม่มีส่งเข้ามาอ่ะครับ,buy,package
smsใช้ไม่ได้ทั้งรับทั้งส่งครับ,report,phone_issues
swap แมค เป็น แอด แมค,enquire,internet
swap แมค เป็น แอด แมค,enquire,internet
TMH นะครับ ตอนนี้ผมอยู่สถานที่สาธารณะนะครับ แล้วมันมี True Wifi ของ TMH นะครับ แต่ผมไม่มีรหัส Log In นะครับ แต่ผมเป็นลูกค้าของ TMH อยู่ ,enquire,internet
trueH มี โปรใช้ 3G ถูกสุดเท่าไรครับ,enquire,promotion
Upgrade Firmware / Restore เครื่อง ,enquire,mobile_setting
Wifi ของผมบอกว่า ใช้งานไว้ไหมจำกัดแต่ทำไม มี SMS ใช้งาน Wifi วันละ 30 นาที,enquire,internet
เกมส์ออนไลน์ในเครือ ทรู มีอะไรบ้างครับ,enquire,service
เกี่ยวกับเรื่อง อินเทอร์เน็ตซิมทำไมมันช้าๆ พอดีพึ่งเติมเงินไป มันเกิดอะไรขึ้นครับ,enquire,internet
เกี่ยวกับโปรโมชั่น ที่ผมสมัครแพ็กเกจเสริม 100บาท โทรได้ 120นาที ผมสมัครไป2ครั้ง อยากให้มีผลแค่ 1 รอบบิล,enquire,package
เกี่ยวกับโปรโมชันตอนนี้ค่ะ ที่เกี่ยวกับ 3G ค่ะ,enquire,promotion
เกี่ยวกับโปรที่ใช้อยู่อะคับ,enquire,package
เกี่ยวกับการใช้บริการทรูมูฟ 3บริการหน่ะค่ะ,enquire,service
เกี่ยวกับซิมนะคะ พอดีซื้อซิมมาใหม่ไม่สามารถเปิดใช้งานได้,report,phone_issues
เกี่ยวกับทรูมูฟเอช 3G คะ จะสมัครแพ็คเกจเสริมอินเทอร์เน็ตคะ แบบเติมเงิน,buy,package
เข้า true iservice เช็ค net balance ไม่ได้,enquire,iservice
เข้า yoube ไม่ได้ค่ะ ใช้เครื่องโกลไลด์,enquire,internet
เข้า เว็บไซต์ ไม่ได้ แต่ เล่นวอสแอ๊ปได้คะ ช่วยเช็คให้หน่อย,enquire,internet
เข้าเน็ตแล้วมันแจ้งว่ามียอดค้างค่าบริการ แต่ว่าไม่ได้รับบิลค่าบริการครับ,enquire,balance
เขาเปลี่ยนเบอร์ไปเขาบอกว่าวันหมด แล้วเงินคาอยู่ในซิมนั้นหน่ะ 4000 กว่าบาท จะมาถามว่าตอนนี้เรื่องไปถึงไหนแล้ว,enquire,balance
เข้าเฟสไม่ได้ครับ,enquire,internet
เข้าใช้งาน เฟซบุ๊ค ไม่ได้ รหัสผ่านไม่ถูกต้อง,enquire,internet
เข้าใช้งาน อินสตราแกรม ไม่ได้,enquire,internet
เขาจะ คิดเงิน เพิ่มที่ใช้ไปหรือเปล่า เกิน 500 ถึงจะ คิด เพิ่มใช่มั้ยครับ,enquire,bill
เข้าอินเตอร์เน็ตไม่ได้ค่ะของทรูมูฟ 3G ค่ะ,enquire,internet
เคยเติมทรูมันนี่บนเว็บ ลืมพาสเวิร์ด,enquire,truemoney
เคยเปิด โรมมิ่งไปเมื่อเดิมก่อน ไม่แน่ใจว่า แจ้งปิดบริการไปหรือยัง,enquire,roaming
เคยแจ้งเรื่อง True iService ไว้นะคะ เมื่อกี้เจ้าหน้าทีโทรเข้ามาบอกว่าทาง True แก้ไห้แล้ว แต่พอเข้าไปเช็คดูมันเหมือนเดิมอะคะ,enquire,service
เคยแจ้งยกเลิก SMS ไป แต่ตอนนี้ยังมีส่งมาอยู่ครับ,cancel,service
เคยแจ้งยกเลิก SMS ขยะไปแล้วแต่ยังได้รับอยู่ ต้องการยกเลิกเบอร์ไปเลย,cancel,service
เคยโทรไปแจ้งปัญหาเกี่ยวกับโบนัสอ่ะค่ะ เขาบอกว่าจะได้ๆ โทรไปไม่ได้มาสองครั้งแล้วค่ะ,enquire,package
เคยโทรไปแจ้งปัญหาเกี่ยวกับโบนัสอ่ะค่ะ เขาบอกว่าจะได้ๆ โทรไปไม่ได้มาสองครั้งแล้วค่ะ,enquire,package
"เคยใช้ เบอร์ฮัทช์ หมายเลขยกเลิกไปแล้ว แต่ต้องการกลับมาใช้งานของระบบ 
ทรูมูฟเอช หมายเลขนั้นได้หรือไม่ ",request,information
เคยใช้แพ็คเกจ 399 อยู่นะค่ะ แล้วไม่ได้ใช้มา <PHONE_NUMBER_REMOVED> เดือนแล้วหน่ะค่ะ แล้วจะสมัครแพ็คเกจ 399 ใหม่หน่ะค่ะ,buy,package
เคยใช้แพ็คเกจ 399 อยู่นะค่ะ แล้วไม่ได้ใช้มา <PHONE_NUMBER_REMOVED> เดือนแล้วหน่ะค่ะ แล้วจะสมัครแพ็คเกจ 399 ใหม่หน่ะค่ะ,buy,package
เคยมี SMS ว่ามียอดค้างชำระแต่พอดี ว่าไปจ่ายมาแล้ว ค่ะ,enquire,payment
เคยสมัครโทรข้ามแดน ตอนนี้ยังใช้ได้อยู่หรือเปล่า,enquire,roaming
เคยสมัครโปรหนึ่งไว้ อยากสมัครใหม่ใช่ดีมาก,enquire,promotion
เคยสมัครอินเตอร์เน็ตไว้ พอเราเลิกเล่นแล้วมันก็ยังกินตังค์อยู่ เป็นเพราะอะไรคะ,enquire,bill
เครือข่ายไม่ดีเลยครับ โทรออกยากมาก โทรเข้ายากมาก,report,phone_issues
เครือข่ายมันขัดข้อง,report,phone_issues
เครื่อง ไอโฟน5 ใช้ อินเตอร์เน็ต ไม่ได้ค่ะ,enquire,internet
เครื่อง หาย ต้องทำอย่างไร ,report,lost_stolen
เครื่องโดนขโมยไปเมื่อเช้าจะปิดบริการค่ะ,report,lost_stolen
เครื่องโดนขโมยไปเมื่อเช้าจะปิดบริการค่ะ,report,lost_stolen
เครื่องโทรเข้าโทรออกไม่ได้เลย แต่พอเข้ามาในเมืองใช้ได้ แต่พอดีตัวเมืองก็ไม่ได้เลยค่ะ,report,phone_issues
เครื่องไม่มีสัญญาณโทรเข้า,report,phone_issues
เครื่องไม่สามารถรับส่ง SMS ได้ครับ,report,phone_issues
เครื่องไม่สามารถรับส่ง เอสเอ็มเอส ได้ครับ,report,phone_issues
เครื่องของผม go live s1 ผมรีบูทเครื่อง พวกทีวี ที่เป็นทรูมูฟเอช หายไปหมดครับ,enquire,mobile_setting
เครื่องของผมกดรหัส pin ผิด 3 ครั้ง มันขึ้น puk,Enquire,mobile_setting
เครื่องของผมกดรหัส pin ผิด 3 ครั้ง มันขึ้น puk,enquire,mobile_setting
เครื่องของพี่งดบริการ พี่โทรเข้ามา แล้วเค้าบอกให้ชำระ แต่ใช้เวลา 3 วัน,report,suspend
เครื่องถูกระงับอีกและ,Report,suspend
เครื่องที่ซื้อมามีปัญหา เป็นที่โนเซอวิสค่ะ จะเลยสอบถามว่า เป็นที่โทรศัพท์หรือเครือข่ายค่ะ,report,phone_issues
เครื่องนี้มันเปิด สามจี ไม่ได้นะครับ,enquire,internet
เครื่องผมโดนล็อกรหัสPUKครับ,enquire,mobile_setting
เครื่องผมโทรออกไม่ได้อ่ะ,report,phone_issues
เครื่องผมที่โทรเบอร์นี้ <PHONE_NUMBER_REMOVED> ใช้ N73 ของโนเกีย ครับ ขอทราบปุ่มล๊อก ประมาณ 15 วิ ก็ล๊อกเลยครับ,report,phone_issues
เครื่องผมมันเข้ารหัสทุกช่องเลย ดูไม่ได้เลยครับ,enquire,nonTrueMove
เครื่องผมมันถูกล๊อคอ่ะพี่ ผมไม่รู้ว่าไปใช้ยังไง แล้วพอเปิดมาอีกทีมันให้ใส่ปลดล๊อคอ่ะ มันเขียนว่าอุปกรณ์ถูกล๊อดอ่ะพี่,report,suspend
เครื่องมีปัญหา ต้องการลงทะเบียณซิมค่ะ,report,phone_issues
เครื่องลูกสาวผมโดนล็อค puk,report,phone_issues
เครื่องหล่นหน้าจอแตก ต้องทำยังไงค่ะ,enquire,service
เครื่องหาย,report,lost_stolen
เงินเบอร์นี้เหลือเท่าไร,enquire,balance
เงินในนี้เหลืออยู่หรือเปล่า,enquire,balance
เงินมันหายค่ะ,enquire,payment
เช๊ค เบอร์เน๊ตให่หน่อยครับ ทำไม ความเร๊วมันดรอปลงเป๊นเพราะอะไรครับ,enquire,internet
เช็ค โปรโมชั่นเหมาโทรฟรีไม่อั้น 24 ชั่วโมงในเครือข่ายทรูมูฟ,enquire,promotion
เช็ค ยอด คงเหลือของ เบอร์ <PHONE_NUMBER_REMOVED> เนื่องจากได้รับ เอสเอ็มเอส แจ้งว่าใช้งานเกินไป,enquire,balance
เช็ค ยอด ค่าใช้จ่าย และดูว่าเกินวันมาหรือยัง,enquire,balance
เช็คเบอร์ <PHONE_NUMBER_REMOVED> ให้พี่หน่อยมันโดนระงับโทรออกมันเป็นอะไรเอ่ย,report,suspend
เช็คเบอร์ <PHONE_NUMBER_REMOVED> ให้พี่หน่อยมันโดนระงับโทรออกมันเป็นอะไรเอ่ย,report,suspend
เช็คเบอร์นี้ให้หน่อย โปรบีบีหมดหรือยังคะ,enquire,promotion
เช็คเบอร์นี้ให้หน่อยครับ,enquire,balance
เช็คเบอร์นี้ให้หนูหน่อย มียอดค้างเท่าไหร่ ,enquire,balance
เช็คโทรศัพท์หนูให้หน่อยค่ะ ไม่มีใครโทรเข้าได้เลยอ่ะค่ะ,report,phone_issues
เช็คโปรโมชั่นกดอะไร,enquire,promotion
เช็คโปรโมชั่นกดอะไร,enquire,package
เช็คโปรให้หน่อยคะ เบอร์ xxxxxxxx คะ,enquire,detail
เช็คให้หน่อย ใช้งานเป็น ทรูมูฟเอช แล้ว เล่นบีบี ไม่ได้ ,enquire,internet
เช็คให้หน่อยได้ไหมครับ ว่าเบอร์ของผม เปลี่ยนเป็นบุฟเฟ่ต์299บาทรึยัง,enquire,package
เช็คให้หน่อยค่ะ ว่าเบอร์ 083 0991519 ทำไมถึงโทรออกไม่ได้ค่ะ,report,phone_issues
เช็คให้หน่อยค่ะ ว่าเบอร์ 083 0991519 ทำไมถึงโทรออกไม่ได้ค่ะ,report,phone_issues
เช็คให้หน่อยหมายเลขเปิดบริการให้เรียบร้อยแล้วใช่มั้ย,activate,service
เช็คการใช้งานแล้ว บอกว่า ยอด การใช้ บริการ เกิน โปรโมชั่น 2 บาท คือ อะไร,enquire,balance
เช๊คข้อมูลของเครื่องนี้ พอดีพึ่งจ่ายเงินไปค่ะ,enquire,payment
เช็คค่าโทรศัพท์หน่อยครับเบอร์นี้ครับ,Enquire,balance
เช็คค่าใช้จ่ายที่ใช้สัญญาณที่เมืองนอกสิงคโปร์หน่ะค่ะ ว่าตอนนี้ใช้วงเงินไปเท่าไหร่แล้วนะคะ ,enquire,balance
เช็คค่ายอดค้างชำระมา มีข้อสงสัยว่าทำมั้ยบางเดือนเราไม่ได้ใช้งาน ทำไมถึงมียอดค่าบริการที่เกินจากโปรของโทรศัพท์ คือตัวนี้จะเข้าไปเช็ครายการโทรได้ที่อินเตอร์เน็ตใช่มั้ยค่ะ เข้าไปยังค่ะ,enquire,bill
เช็คค่ายอดค้างชำระมา มีข้อสงสัยว่าทำมั้ยบางเดือนเราไม่ได้ใช้งาน ทำไมถึงมียอดค่าบริการที่เกินจากโปรของโทรศัพท์ คือตัวนี้จะเข้าไปเช็ครายการโทรได้ที่อินเตอร์เน็ตใช่มั้ยค่ะ เข้าไปยังค่ะ,enquire,bill
เช็คดูยอดการโทรทำไมมันเหลือแค่ร้อยกว่านาที ทำไมอ่ะครับ,enquire,balance_minutes
เช็คนาทีคงเหลือให้หน่อย,enquire,balance_minutes
เช็คยอด 3G ให้หน่อย ค่ะ,enquire,balance
เช็คยอดเงิน แล้วจะไปจ่าย 3 เดือนก่อน,enquire,balance
เช็คยอดเงินแล้วกด#123# มันขึ้นว่าไม่มีข้อมูลอ่ะคะ,enquire,balance
เช็คยอดเงินกดดอกจันอะไร,enquire,balance
เช็คยอดเงินค่ะ,enquire,balance
เช็คยอดโบนัสไม่ได้อะพี่,enquire,balance
เช็คยอดให้พี่หน่อยค่ะ เท่าไหร่ค่ะ,enquire,balance
เช็คยอดให้หน่อยค่ะ ไปจ่าค่าบริการ แต่พนักงานน่าจะไปจ่ายให้ผิดค่ะ <PHONE_NUMBER_REMOVED>,enquire,balance
เช็คยอดการใช้งานค่ะ,enquire,balance
เช๊คยอดการใช้บริการหน่อยค่ะ,enquire,balance
เช็คยอดของหนูให้หน่อยค่ะ,enquire,balance
เช็คยอดคงเหลือของอินเตอร์เน็ตไม่ทราบว่าจะเช็คยังไงค่ะ,enquire,balance
เช๊คยอดคงเหลือหน่อยครับ,enquire,balance
เช็คยอดค้างค่าโทรศัพท์หน่อยค่ะ,enquire,balance
เช็คยอดค้างชำระครับพี่,enquire,balance
เช็คยอดค้างชำระน่ะค่ะ,enquire,balance
เช็คยอดค้างชำระน่ะค่ะ,enquire,balance
เช็คยอดค่าบริการ ถูกตัดสัญญาณ ,enquire,balance
เช็คยอดค่าบริการ ทรูมูฟ หน่อยค่ะ,enquire,balance
เช็คยอดค่าบริการของหมายเลข <PHONE_NUMBER_REMOVED>,enquire,balance
เช็คยอดค่าบริการค่ะ,enquire,balance
เช็คยอดค่าบริการค่ะ,enquire,balance
เช็คยอดค่าบริการหน่อยครับ,enquire,balance
เช็ครอบบิลของเน็ตที่ผมสมัครไว้ ผมจะเช็คยังไง,enquire,bill
เช็คว่ายอดเงินที่เติมเข้าไปมี20บาทกี่ครั้ง 10บาทกี่ครั้ง,enquire,payment
เช็คสถานะของเครื่องซ่อมครับ,request,information
เช็คหน่อยได้ไหมครับว่าบิลมารวมของบัตรเครดิตตั้งแต่เมื่อไหร่อ่ะครับ,enquire,bill
เช็คหน่อยได้ไหมครับว่าบิลมารวมของบัตรเครดิตตั้งแต่เมื่อไหร่อ่ะครับ,enquire,bill
เช็คอินเตอร์เน็ตให้ผมหน่อยครับ เดี๋ยวนี้เล่นอะไรไม่ได้เลย,enquire,internet
เช็คอินเตอร์เน็ตให้ผมหน่อยครับ เดี๋ยวนี้เล่นอะไรไม่ได้เลย,enquire,internet
เชื่อมต่อ internet ไม่ได้ 3G เป็นอะไรหรือเปล่า,enquire,internet
เชื่อมต่อ internet ไม่ได้ เป็น internet บ้านค่ะ,enquire,internet
เชื่อมต่อ internet ไม่ได้ เป็นเครื่อง โกลไล ค่ะ ,enquire,internet
เชื่อมต่อ internet ไม่ได้ ใช้ แอร์การ์ด ,enquire,internet
เชื่อมต่อ internet ไม่ได้ ก่อนหน้านี้ใช้งานได้,enquire,internet
เชื่อมต่อ Wi-Fi ไม่ได้,enquire,internet
เชื่อมต่อสัญญาณให้หน่อยค่ะ,activate,service
เชื่อมต่ออินเตอร์เน็ตไม่ได้,enquire,internet
เชื่อมต่ออินเตอร์เน็ตไม่ได้,enquire,internet
เชื่อมต่ออินเตอร์เน็ตหน่ะค่ะ โทรมา 2 รอบแล้วแต่ก็ยังใช้งานไม่ได้ ใช่เป็น iPad ค่ะ,enquire,internet
เด๋วพี่ขอปรึกษาหน่อยนะ น้องสามารถเช็คโปรโมชั่นพี่ได้ใช่มั้ยคะ พี่ไม่เข้าใจในเรื่องพี่เช็ค พี่เช็คจากที่แอป ไอ้มุมล่างสุดที่เล่น 3G อะไรเนี่ยค่ะ มันเหลือเท่าไหร่คะ,enquire,nonTrueMove
เด่วรบกวนต่อไวไฟให้หน่อยได้มั้ยคะ,enquire,internet
เด่วสมัครโปรโปรโมชั่น49ให้ด้วยค่ะ,buy,package
เดินทางไปต่างประเทศมา แล้วเปิดเน็ตไว้ แต่ไม่ได้ใช้ อยากจะทราบว่าเสียค่าบริการอะไรหรือเปล่า,enquire,roaming
เดิมเป็น ฮัท แล้วเปลี่ยนเป็น ทรูมูฟเอช การหักค่าบริการผ่านบัญชีธนาคารตามไปไหม หรือต้องสมัครใหม่,enquire,payment
เดิมมันเป็นเบอร์ของฮันแล้วเปลี่ยนมาเป็นทรูสามจี แล้วมันไม่มีสัญญาณครับ,report,phone_issues
เดือนก่อนโทรไปเกาหลี แต่จำค่าบริการไม่ได้แล้ว,enquire,idd
เดือนก่อนหนูโทรไปที่ศูนย์ หนูสมัคร Internet 2GB 599 แล้วเค้าบอกจะหักตัง แล้วเค้าแจ้งว่าตังไม่พอ หนูเลยจะทำใหม่ค่ะ,enquire,nonTrueMove
เดือนนี้ ใบเสร็จยังไม่มา ค่าโทรศัพท์เท่าไหร่ครับ,enquire,balance
เดือนนี้ ต้องจ่าย ชำระ เท่าไรค่ะ ยังไม่เห็นมี บิล เลย,enquire,bill
"เดือนนี้ ผมติด ระงับสัญญาณไป ประมาณ 5 วัน ตรงนี้จะมีการลดในส่วนของค่าบริการไปมั้ย
ครับเพราะใช้ เซอร์วิสต่าง ๆ ไม่ได้เลย ทั้ง บีบี แล้วก้อ เอสเอ็มเอส",enquire,balance
